stt,date,Latitude,Longitude,density,class
411,2/16/2020,41.909705,-87.739646,832,Sparse
412,2/17/2020,41.965326,-87.662564,195,Sparse
413,2/18/2020,41.976215,-87.666782,173,Sparse
414,2/19/2020,41.983538,-87.665686,158,Sparse
415,2/20/2020,41.896651,-87.630189,277,Sparse
416,2/21/2020,41.893244,-87.630017,1554,Normal
417,2/22/2020,42.00544,-87.666635,241,Sparse
418,2/23/2020,41.875606,-87.630878,266,Sparse
419,2/24/2020,41.692822,-87.605505,327,Sparse
420,2/25/2020,41.910585,-87.669739,339,Sparse
421,2/26/2020,41.976144,-87.671622,673,Sparse
422,2/27/2020,41.895971,-87.67335,673,Sparse
423,2/28/2020,41.87691,-87.628624,662,Sparse
424,2/29/2020,41.878174,-87.628405,340,Sparse
425,3/1/2020,41.879452,-87.628325,161,Sparse
426,3/2/2020,41.880775,-87.626654,127,Sparse
427,3/3/2020,41.882024,-87.628403,369,Sparse
428,3/4/2020,41.885747,-87.628288,523,Sparse
429,3/5/2020,41.883215,-87.628926,2970,Normal
430,3/6/2020,41.884485,-87.628798,1455,Normal
431,3/7/2020,42.000202,-87.699716,703,Sparse
432,3/8/2020,41.691858,-87.539118,990,Sparse
433,3/9/2020,41.691285,-87.720316,594,Sparse
434,3/10/2020,41.699648,-87.641695,2923,Normal
435,3/11/2020,41.749569,-87.721913,594,Sparse
436,3/12/2020,41.771406,-87.720493,9071,Crowded
437,3/13/2020,41.778674,-87.721655,9913,Crowded
438,3/14/2020,41.795919,-87.761047,9913,Crowded
439,3/15/2020,41.793061,-87.739172,10975,Crowded
440,3/16/2020,41.808006,-87.712716,12751,Crowded
441,3/17/2020,41.807648,-87.741014,10698,Crowded
442,3/18/2020,41.830119,-87.693144,7641,Normal
443,3/19/2020,41.859094,-87.704686,11106,Crowded
444,3/20/2020,41.886549,-87.744388,12107,Crowded
445,3/21/2020,41.909224,-87.734147,5250,Normal
446,3/22/2020,41.925567,-87.641535,264,Sparse
447,3/23/2020,41.923528,-87.667066,493,Sparse
448,3/24/2020,41.944804,-87.834785,301,Sparse
449,3/25/2020,41.968273,-87.724989,4851,Normal
450,3/26/2020,41.966293,-87.850072,4511,Normal
451,3/27/2020,41.982866,-87.724368,4357,Normal
452,3/28/2020,41.990343,-87.71242,5201,Normal
453,3/29/2020,41.990529,-87.687864,521,Sparse
454,3/30/2020,41.997767,-87.687751,838,Sparse
455,3/31/2020,41.997773,-87.805489,886,Sparse
456,4/1/2020,41.877093,-87.725018,333,Sparse
457,4/2/2020,41.877558,-87.685609,1215,Normal
458,4/3/2020,41.877595,-87.668568,2102,Normal
459,4/4/2020,41.877635,-87.665993,2014,Normal
460,4/5/2020,41.878356,-87.618837,1875,Normal
461,4/6/2020,41.87878,-87.674129,2958,Normal
462,4/7/2020,41.878596,-87.685749,622,Sparse
463,4/8/2020,41.88074,-87.724539,622,Sparse
464,4/9/2020,41.884876,-87.715267,568,Sparse
465,4/10/2020,41.884246,-87.704407,2444,Normal
466,4/11/2020,41.883218,-87.627549,305,Sparse
467,4/12/2020,41.882102,-87.685013,575,Sparse
